data_year,pub_agency_name,state_name,county_name,offense_name,location_name,prop_desc_name,stolen_value
2012,University of Memphis,Tennessee,SHELBY,Motor Vehicle Theft,Parking/Drop Lot/Garage,Other Motor Vehicles,6000.0
2012,University of Memphis,Tennessee,SHELBY,Motor Vehicle Theft,Parking/Drop Lot/Garage,Other Motor Vehicles,6000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Other,300000.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Other,300000.0
2012,Hillsborough,Florida,HILLSBOROUGH,Theft From Motor Vehicle,Highway/Road/Alley/Street/Sidewalk,"Metals, Non-Precious",17000.0
2012,Hillsborough,Florida,HILLSBOROUGH,Theft From Motor Vehicle,Highway/Road/Alley/Street/Sidewalk,"Metals, Non-Precious",17000.0
2012,Hillsborough,Florida,HILLSBOROUGH,Theft From Motor Vehicle,Highway/Road/Alley/Street/Sidewalk,"Metals, Non-Precious",17000.0
2012,Hillsborough,Florida,HILLSBOROUGH,Embezzlement,Parking/Drop Lot/Garage,Consumable Goods,105158.0
2012,Hillsborough,Florida,HILLSBOROUGH,Embezzlement,Parking/Drop Lot/Garage,Consumable Goods,105158.0
